article_id,column1,column2,column3,column4
6205478, Individuals or households||| Local government, Technological/infrastructural|||Behavioural/cultural||| Ecosystem-based, Drought||| Precipitation variability||| General climate impacts, Food security|||Poverty
6205479, Civil Society- sub-national or local||| Individuals or households||| National government||| Local government,Behavioural/cultural||| Ecosystem-based, General climate impacts, Other2
6205480, Individuals or households, Institutional|||Behavioural/cultural, Drought||| Extreme precipitation and inland flooding, Consumption & production||| Food security||| Clean water & sanitation||| Energy security||| Health & wellbeing
6205481, Individuals or households, Ecosystem-based, Precipitation variability||| Drought||| Extreme precipitation and inland flooding||| General climate impacts, Food security|||Poverty
6205482, Individuals or households,Behavioural/cultural, Other1||| Precipitation variability||| Drought||| General climate impacts, Food security|||Poverty
6205483, Individuals or households||| National government|||International or multinational governance institutions||| Civil Society- international/multinational/national, Institutional||| Ecosystem-based||| Technological/infrastructural, Drought||| Precipitation variability, Food security|||Poverty||| Consumption & production
6205484, Individuals or households||| Local government||| Civil Society- international/multinational/national, Ecosystem-based||| Technological/infrastructural|||Behavioural/cultural, General climate impacts||| Drought||| Precipitation variability, Food security||| Consumption & production||| Gender equality||| Health & wellbeing
6205485, Individuals or households||| National government, Technological/infrastructural||| Institutional||| Ecosystem-based, General climate impacts||| Drought||| Increased frequency and intensity of extreme heat, Food security||| Consumption & production
6205486, Civil Society- international/multinational/national||| Civil Society- sub-national or local||| Local government||| Individuals or households, Institutional||| Technological/infrastructural, General climate impacts||| Drought||| Precipitation variability, Work and economic growth||| Consumption & production||| Food security
6205487, Individuals or households, Technological/infrastructural|||Behavioural/cultural||| Ecosystem-based, Extreme precipitation and inland flooding||| Drought||| Other1||| Precipitation variability,Poverty||| Food security
6205488, Individuals or households||| Local government||| National government,Behavioural/cultural||| Institutional||| Ecosystem-based, Drought||| Increased frequency and intensity of extreme heat||| Other1, Food security||| Health & wellbeing||| Clean water & sanitation
6205489, National government||| Individuals or households, Ecosystem-based||| Technological/infrastructural|||Behavioural/cultural, General climate impacts, No information or not assessed2
6205490, Individuals or households, Ecosystem-based||| Technological/infrastructural|||Behavioural/cultural, Precipitation variability||| Drought||| Increased frequency and intensity of extreme heat, Food security||| Other2
6205491, Individuals or households,Behavioural/cultural, Drought, Food security
6205492, Individuals or households||| National government||| Local government, Technological/infrastructural||| Ecosystem-based||| Institutional|||Behavioural/cultural, Drought||| Precipitation variability||| General climate impacts||| Other1, Food security||| Consumption & production
6205493, Civil Society- sub-national or local||| Individuals or households||| National government|||International or multinational governance institutions, Technological/infrastructural||| Institutional|||Behavioural/cultural, Precipitation variability||| General climate impacts, Consumption & production||| Food security
6205495, Individuals or households||| National government||| Sub-national government||| Local government||| Civil Society- international/multinational/national, Institutional, Precipitation variability||| Drought, Food security||| Consumption & production
6205496, Individuals or households, Technological/infrastructural, Drought||| Precipitation variability, Food security||| No information or not assessed2
6205497, National government||| Local government, Ecosystem-based, Drought||| Precipitation variability, Food security|||Poverty
6205498, Civil Society- international/multinational/national||| Individuals or households|||International or multinational governance institutions||| Sub-national government, Institutional|||Behavioural/cultural||| Ecosystem-based, No information or not assessed1||| Drought||| General climate impacts, Consumption & production|||Poverty||| Work and economic growth||| Food security
